Name,MRP,Rate,Discount,Ratings,Packing
Yonker K1 Fingertip Pulse Oximeter Yellow and White,4500.0,1949.0,56.0,,box of 1 Unit
ChoiceMMed MD300CN356 Pulse Oximeter White,3450.0,3277.0,5.0,,box of 1 Unit
Sansui Digital Fingertip Pulse Oximeter Black,2999.0,2999.0,0.0,,box of 1 Unit
K-Life Finger Tip Pulse Oximeter White FTP 102,4499.0,4273.0,5.0,,box of 1 Unit
Niscomed Contec CMS60C Pulse Oximeter,11940.0,11342.0,5.0,,box of 1 Unit
Gibson Fingertip Pulse Oximeter with Tin Packing,8000.0,5200.0,35.0,,box of 1 Unit
Sansui Digital Fingertip Pulse Oximeter Blue,2999.0,2999.0,0.0,,box of 1 Unit
Dr. Odin A330 Pulse Oximeter,3750.0,3562.0,5.0,,box of 1 Unit
Oxygize Premium Ring Pulse Oximeter Blue,4000.0,3799.0,5.0,,box of 1 Unit
Equinox EQ-OP109 Pulse Oximeter,3800.0,3610.0,5.0,,box of 1 Unit
Contec CMS70A Portable Desktop Pulse Oximeter,28000.0,25760.0,8.0,,box of 1 Unit
Oxygize Pulse Oximeter with Bluetooth Grey,3500.0,2975.0,15.0,,box of 1 Unit
ChoiceMMed MD300M Handheld Large Screen Colour Pulse Oximeter,18500.0,13875.0,25.0,,box of 1 Unit
Oxygize Premium Ring Pulse Oximeter Black,4000.0,3400.0,15.0,,box of 1 Unit
Contec CMS50B Pulse Oximeter,3360.0,3044.0,9.0,,box of 1 Unit
Oxygize Pulse Oximeter with Bluetooth Orange,3500.0,2975.0,15.0,,box of 1 Unit
Oxygize Premium Ring Pulse Oximeter Yellow,4000.0,3400.0,15.0,,box of 1 Unit
Contec CMS 60D Handheld Pulse Oximeter White,17000.0,15660.0,8.0,,packet of 1 Unit
Perfecxa FS20C Pulse Oximeter Fingertip with Carrying Pouch Black,5500.0,5224.0,5.0,,box of 1 Unit
Oxygize Premium Ring Pulse Oximeter Pink,4000.0,3400.0,15.0,,box of 1 Unit
Niscomed Tabletop Pulse Oximeter CMS70A White,25000.0,18750.0,25.0,,box of 1 Unit
"ChoiceMMed MD300C63 AntiShock, Fall Resistant Fingertip Pulse Oximeter",4030.0,3023.0,25.0,,box of 1 Unit
Oxygize Premium Ring Pulse Oximeter White,4000.0,3400.0,15.0,,box of 1 Unit
Niscomed Fingertip Pulse Oximeter CMS 50D with Plastic Black Box Blue and White,4500.0,1829.0,59.0,,box of 1 Unit
Sara+Care PO 101 Fingertip Pulse Oximeter,3900.0,3704.0,5.0,,box of 1 Unit
Sara+Care PO 103 Fingertip Pulse Oximeter,2900.0,2754.0,5.0,,box of 1 Unit
ChoiceMMed MD300CF3 Fingertip Pulse Oximeter with Alarm,4360.0,4141.0,5.0,,box of 1 Unit
Smart Care SC 500A Pulse Oximeter,6900.0,6554.0,5.0,,box of 1 Unit
Niscomed Pulse Oximeter with NIBP CMS 5100 White,50000.0,24000.0,52.0,,box of 1 Unit
Smart Care SC 500B Pulse Oximeter,5900.0,4130.0,30.0,,box of 1 Unit
Ozocheck AS Fingertip Pulse Oximeter White,2595.0,2464.0,5.0,,box of 1 Unit
Niscomed Pulse Oximeter with NIBP CMS 5000 White,50000.0,27500.0,45.0,,box of 1 Unit
Dr. Odin A330N Pulse Oximeter+PI,4100.0,4100.0,0.0,,box of 1 Unit
